City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
202,Palmer,US,2022-05-15 23:49:16,42.1584,-72.3287,75.61,74,100,10.36
203,Tecoanapa,MX,2022-05-15 23:49:16,16.5167,-98.75,85.82,63,41,9.71
204,Lompoc,US,2022-05-15 23:49:17,34.6391,-120.4579,82.56,79,75,14.97
205,Norman Wells,CA,2022-05-15 23:49:17,65.282,-126.8329,55.44,44,75,16.11
206,Ulagan,RU,2022-05-15 23:49:18,50.6321,87.9563,52.63,68,100,2.3
207,The Valley,AI,2022-05-15 23:49:18,18.217,-63.0578,80.1,83,75,14.97
208,Warkworth,NZ,2022-05-15 23:49:19,-36.4,174.6667,68.43,81,96,15.99
209,Miri,MY,2022-05-15 23:49:19,4.4148,114.0089,77.14,100,40,2.3
210,San Giuseppe Jato,IT,2022-05-15 23:49:20,37.9734,13.1881,62.46,26,3,2.48
211,Berlevag,NO,2022-05-15 23:49:20,70.8578,29.0864,37.35,81,100,5.75
212,Poum,NC,2022-05-15 23:49:21,-20.2333,164.0167,78.08,72,40,15.99
213,Teguise,ES,2022-05-15 23:49:21,29.0605,-13.564,64.62,77,20,8.05
214,Lata,PT,2022-05-15 23:49:22,40.1629,-8.3327,59.92,90,48,4.32
215,Yate,GB,2022-05-15 23:49:22,51.5407,-2.4184,59.23,94,100,1.01
216,Necochea,AR,2022-05-15 23:49:23,-38.5473,-58.7368,52.92,78,100,24.11
217,Kuito,AO,2022-05-15 23:49:23,-12.3833,16.9333,56.08,61,21,2.95
218,Mataura,NZ,2022-05-15 23:49:24,-46.1927,168.8643,54.79,66,9,2.66
219,Rabo De Peixe,PT,2022-05-15 23:49:24,37.8,-25.5833,64.27,90,75,29.93
220,Atoka,US,2022-05-15 23:49:25,34.4001,-96.0169,85.69,70,2,11.23
221,Bluff,NZ,2022-05-15 23:48:10,-46.6,168.3333,52.03,70,9,8.01
222,Coos Bay,US,2022-05-15 23:49:25,43.3665,-124.2179,71.31,74,20,12.66
223,Korla,CN,2022-05-15 23:49:07,41.7597,86.1469,69.21,21,91,7.65
224,Maputo,MZ,2022-05-15 23:49:26,-25.9653,32.5892,67.23,90,0,6.91
225,Sur,OM,2022-05-15 23:49:27,22.5667,59.5289,82.62,62,0,7.81
226,Bengkulu,ID,2022-05-15 23:49:27,-3.8004,102.2655,76.5,91,97,4.32
227,Saint George,US,2022-05-15 23:49:28,37.1041,-113.5841,98.64,5,0,18.41
228,Uwajima,JP,2022-05-15 23:49:28,33.2238,132.56,63.25,67,100,6.55
229,Tuatapere,NZ,2022-05-15 23:50:29,-46.1333,167.6833,56.77,56,5,4.41
230,Kirakira,SB,2022-05-15 23:50:29,-10.4544,161.9205,83.34,75,28,2.33
231,Worland,US,2022-05-15 23:50:29,44.0169,-107.9554,72.61,27,0,7.0
232,Nanortalik,GL,2022-05-15 23:50:30,60.1432,-45.2371,30.38,82,82,6.85
233,Goderich,CA,2022-05-15 23:50:30,43.7501,-81.7165,66.52,72,99,4.61
234,Gillette,US,2022-05-15 23:50:31,44.2911,-105.5022,66.87,40,0,4.61
235,Kaitangata,NZ,2022-05-15 23:50:31,-46.2817,169.8464,54.0,67,5,3.11
236,Salalah,OM,2022-05-15 23:50:32,17.0151,54.0924,78.62,62,2,0.63
237,Znamenka,RU,2022-05-15 23:50:32,52.4167,41.4311,45.07,96,60,8.81
238,Kirkwall,GB,2022-05-15 23:50:33,58.9848,-2.9587,48.25,93,34,6.91
239,Cap Malheureux,MU,2022-05-15 23:50:33,-19.9842,57.6142,72.46,90,5,12.37
240,Hithadhoo,MV,2022-05-15 23:50:34,-0.6,73.0833,82.9,76,91,13.71
241,Burns Lake,CA,2022-05-15 23:50:34,54.2331,-125.7533,56.62,68,100,7.23
242,Puerto Madryn,AR,2022-05-15 23:50:35,-42.7692,-65.0385,51.13,70,39,13.85
243,Benguela,AO,2022-05-15 23:50:35,-12.5763,13.4055,74.55,82,19,2.13
244,General Roca,AR,2022-05-15 23:50:35,-39.0333,-67.5833,44.62,37,0,1.54
245,Ritchie,ZA,2022-05-15 23:50:36,-29.038,24.6028,52.81,41,2,8.9
246,Iquique,CL,2022-05-15 23:50:37,-20.2208,-70.1431,60.84,76,55,5.66
247,Adrar,MR,2022-05-15 23:50:38,20.5022,-10.0711,86.99,11,60,9.31
248,Eyl,SO,2022-05-15 23:50:38,7.9803,49.8164,82.9,66,37,15.46
249,Hambantota,LK,2022-05-15 23:50:39,6.1241,81.1185,79.93,84,44,18.32
250,Novaya Igirma,RU,2022-05-15 23:50:39,57.1334,103.9112,60.22,43,92,1.36
